ensembl_gene_id,gene_symbol,SRR35143100,SRR35143101,SRR35143102,SRR35143106,SRR35143107,SRR35143108,SRR19070038,SRR19070039,SRR19070040,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000000804,Usp32,0,211.504,8.525,8.108,4.469,5.542999999999999,337.92,292.976,351.634,952.099,159.94800000000004,341.151
ENSMUSG00000000805,Car4,4,3,7.550000000000001,0,1.992,5,6.198,21.488,8,21.459000000000003,21.852,17.144
ENSMUSG00000000817,Fasl,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000000823,Zfp512b,713.0020000000001,650.0029999999999,535.9999999999999,650.0010000000001,461.08299999999997,575.122,1119.3059999999998,1343.2269999999999,1200.687,1021,947.6310000000001,1241.589
ENSMUSG00000000826,Dnajc5,736.5329999999999,889.723,689.802,859.62,716.534,733.235,669.5790000000001,602.211,798.3380000000001,955.55,640.1569999999999,699.4
ENSMUSG00000000827,Tpd52l2,120.238,136.348,132.327,162.558,194.517,151.782,207.101,192.589,172.692,243.95000000000002,182.488,239.269
ENSMUSG00000000838,Fmr1,328.639,260.05699999999996,182.639,228.271,286.819,316.468,193.93699999999998,180.345,199.37900000000002,509.678,164.434,252.69
ENSMUSG00000000861,Bcl11a,28.936,26.406,17.944,22.654,24.463,32.071,21.976,20.228,37.744,74.478,15.091,24.133
ENSMUSG00000000869,Il4,58,49,70,54,46,58,0,0,0,0,0,0
ENSMUSG00000000881,Dlg3,391.322,188.81799999999998,297.72400000000005,234.953,246.017,200.602,295.178,349.656,282.127,738.743,273.262,310.453
ENSMUSG00000000884,Gnb1l,35.434,11,21.393,31.258000000000003,26.931,25.945999999999998,36.447,17.67,33.217,2.219,23.491,24.712
ENSMUSG00000000889,Dbh,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000901,Mmp11,29,22,26,68,28.644,29,29.001,55,40.995,21,29.993000000000002,33.373
ENSMUSG00000000902,Smarcb1,669.1220000000001,696.6949999999999,600.296,692.885,566.699,638.928,777.318,990.325,894.473,975.139,705.494,939.8100000000001
ENSMUSG00000000903,Vpreb3,5.691,1,1,7,0,0,2,3,1,0,1,1
ENSMUSG00000000915,Hip1r,8.512,14.067,17.173000000000002,13.585,7.969,14.929,67.122,68.37,60.446,24.673,90.393,76.938
ENSMUSG00000000916,Nsun5,68.053,54.772999999999996,63.913,75.82900000000001,28.531000000000002,67.833,99.12700000000001,137.501,110.406,106.854,98.011,136.279
ENSMUSG00000000934,Top1mt,0,1.486,0,1.456,0,11.753,5.879,1.449,5.671,29.770999999999997,4.279,3.924
ENSMUSG00000000938,Hoxa10,513.499,472.88599999999997,382.415,403.27799999999996,411.066,515.445,306.243,386.575,396.728,642.394,303.59700000000004,392.564
ENSMUSG00000000942,Hoxa4,82.772,127,98,74,103,91,133,147.323,123,145,87,110
ENSMUSG00000000948,Gm38393,517.13,518.8100000000001,410.301,470.34299999999996,431.935,514.256,197.25,220.03300000000002,220.48700000000002,470.036,191.184,243.943
ENSMUSG00000000957,Mmp14,8.927,9.222,9.16,11.031,10.901,19.68,13.908999999999999,10.097000000000001,27.192999999999998,16.501,22.182000000000002,16.457
ENSMUSG00000000958,Slc7a7,0,1,0,0,2.627,0,1,0,1.61,0,0,0
ENSMUSG00000000959,Oxa1l,63.744,64.378,52.278,53.508,55.657999999999994,66.69399999999999,126.36800000000001,129.386,138.92499999999998,75.316,125.496,115.98499999999999
ENSMUSG00000000976,Heatr6,61.95399999999999,74.688,30.953000000000003,55.173,44.107000000000006,13.518999999999998,104.35000000000001,94.753,123.882,51.105999999999995,115.78099999999999,85.166
ENSMUSG00000000983,Wfdc18,27,27,24,17,22.062,29,27,23,24,14,14,18
ENSMUSG00000001014,Icam4,8,9,6,11,8,10,4,7,6,0,2,2
ENSMUSG00000001016,Ilf2,308.289,326.061,336.11,297.382,242.607,298.495,334.624,572.41,429.831,486.986,280.30100000000004,409.251
ENSMUSG00000001017,Chtop,3.282,1.137,1.137,2.518,3.9399999999999995,1.415,6.243,4.45,6.484,3.0780000000000003,2.776,4.157
ENSMUSG00000001018,Snapin,760.094,817.3190000000001,692.18,741.4570000000001,655.393,835.4000000000001,784.771,936.694,970.9340000000001,1503.1970000000001,652.039,809.932
ENSMUSG00000001020,S100a4,0,0,0,1.669,0,0,0,0,0,0,0,0
ENSMUSG00000001021,S100a3,3,2.266,1,1.164,0,1,0,8,1,3,5,16
ENSMUSG00000001025,S100a6,1.368,1.234,1.235,15.808,0,3.85,0,1.286,4.419,0,0,1.259
ENSMUSG00000001027,Scn4a,1,1,0,0,6,66,0,7,0,1,1,5
ENSMUSG00000001029,Icam2,0,0,8.302,12.738,7.692,0,1,0,5.104,0,2,0
