ensembl_gene_id,gene_symbol,SRR19070041,SRR19070042,SRR19070043,SRR19070035,SRR19070036,SRR19070037,SRR25715198,SRR25715200,SRR25715206,SRR25715208,SRR25715228,SRR25715226,SRR25715220,SRR25715218
ENSMUSG00000000486,Septin1,44.661,43.419,44.246,45.019,37.359,34.361000000000004,22.444000000000003,19,24.041,26.036,37.730000000000004,29.792,10,26.722
ENSMUSG00000000489,Pdgfb,19.795,16.145,20.151000000000003,13.531,23.958,26.573,5.738,3.559,6.554,3.517,0,10.33,6.710000000000001,11.051
ENSMUSG00000000530,Acvrl1,169.814,147.318,169.862,193.652,166.767,227.272,76.374,72.044,78.933,51.108,83.552,39.572,39.395,69.737
ENSMUSG00000000538,Tom1l2,537.153,908.105,772.2189999999999,754.097,541.5360000000001,1082.472,904.298,814.017,1399.5269999999998,900.3720000000001,754.9090000000001,1236.081,708.717,927.3890000000001
ENSMUSG00000000544,Gpa33,0,0,0,0,0,0,0,0,2,0,0,0,1,0
ENSMUSG00000000555,Itga5,31,59,35,39,37,51,45.003,46.043,46,24,54,33,46,39
ENSMUSG00000000560,Gabra2,628.994,759.775,707.861,774.146,514.3729999999999,649.767,2201.994,2107.551,1937.704,2424.863,2277.927,2132.577,2200.1139999999996,2043.465
ENSMUSG00000000561,Wdr77,187.946,307.763,234.41000000000003,282.626,189.075,288.82700000000006,451.53499999999997,421.062,306.997,327.034,336.666,291.026,295.291,390.572
ENSMUSG00000000562,Adora3,34.666000000000004,16,19,18.003,4,18,60.096000000000004,57.111,66.002,57.37,26.012999999999998,26.014000000000003,34.001000000000005,35.232
ENSMUSG00000000563,Atp5pb,3869.598,1563.485,1473.371,3923.8759999999997,1372.609,1658.608,2389.768,2141.7000000000003,1710.898,2532.879,2232.558,2189.259,2013.7100000000003,2444.1540000000005
ENSMUSG00000000568,Hnrnpd,803.8919999999999,382.90999999999997,372.773,852.798,341.08,334.524,447.442,472.96400000000006,380.894,379.984,411.315,393.951,366.53499999999997,571.607
ENSMUSG00000000579,Dynlt1c,220.773,220.119,270.26900000000006,226.606,268.536,241.889,355.338,375.828,427.87,385.5919999999999,378.752,349.474,319.909,348.48699999999997
ENSMUSG00000000581,C1d,72.43,144.029,135.048,95.76,69.53999999999999,149.38,239.176,357.725,208.771,317.04999999999995,300.214,284.312,253.654,285.105
ENSMUSG00000000600,Krit1,959.5069999999998,572.246,627.567,1379.219,489.741,581.8520000000001,988.9330000000001,863.1749999999998,984.989,878.184,886.6279999999999,701.507,947.0679999999999,990.0139999999999
ENSMUSG00000000605,Clcn4,149.172,154.49399999999997,170.333,139.515,130.471,161.578,154.843,139.32299999999998,134.46300000000002,127.04400000000001,143.997,137.826,153.929,182.50699999999998
ENSMUSG00000000606,Vmn2r88,0,0,0,3,0,0,5.14,1.982,3.978,8.999,4.287,0,3.298,4.024
ENSMUSG00000000617,Grm6,0,0,0,0,0,1,0,0,0,0,2,0,0,0
ENSMUSG00000000627,Sema4f,41.722,26.223999999999997,13.725,35.099000000000004,41.580000000000005,21.641,15.657,7.09,7.573,7.219,13.654,18.123,6.223,18.192
ENSMUSG00000000628,Hk2,0,4.078,0,0,19.725,0,0,0,0,4.605,0,0,0,0
ENSMUSG00000000631,Myo18a,907.224,207.581,133.748,1073.972,116.998,147.099,97.778,110.53299999999999,117.626,133.84699999999998,121.667,117.7,103.823,147.91299999999998
ENSMUSG00000000632,Sez6,451.306,1174.428,961.1700000000001,499.96700000000004,983.849,1155.07,996.806,1014.034,948.6159999999999,786.718,1035.999,1023.456,922.762,1179.797
ENSMUSG00000000673,Haao,3.748,3.083,1,1,2.8040000000000003,6.808,9.301,5.393,6.43,6,8,5.021,4,1.111
ENSMUSG00000000682,Cd52,0,0,0,0,0,0,1.01,0,4,2.021,2,2,0,0
ENSMUSG00000000686,Abhd15,3,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSMUSG00000000693,Loxl3,3.186,3.302,2.1639999999999997,4,5,5.588,7.262,11.994,1.283,1.019,4.285,0,1.371,1
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,0,0,0,0,0,0,1.214,0,0,0,1,0,0,0
ENSMUSG00000000708,Kat2b,2559,1098.0420000000001,1025.197,2815.9999999999995,854.899,1049.707,1595.123,1552.3719999999998,1365.4340000000002,1410.3519999999999,1425.606,1383.0319999999997,1462.6869999999997,1680.8339999999998
ENSMUSG00000000711,Rab5b,77.896,55.604,53.09,84.091,33.534,50.349,42.802,42.977,40.825,53.305,44.002,44.233,51.008,47.771
ENSMUSG00000000724,Cryba1,0,0,1,0,0,0,2.016,1.001,4.022,0,3.013,1,1,1.001
ENSMUSG00000000730,Dnmt3l,0,0,0,0,1,0,0,0,0,1,0,1,0,1
ENSMUSG00000000731,Aire,3,15,6,75.00099999999999,4,8,4,6,6,5,2,3,1,5
ENSMUSG00000000732,Icosl,31.744,73.551,6.731,91.49300000000001,11.517,11.603000000000002,35.971000000000004,24.237000000000002,19.579,35.846000000000004,8.411,21.703,22.712,23.457
