ensembl_gene_id,gene_symbol,SRR19070041,SRR19070042,SRR19070043,SRR19070035,SRR19070036,SRR19070037,SRR25715198,SRR25715200,SRR25715206,SRR25715208,SRR25715228,SRR25715226,SRR25715220,SRR25715218
ENSMUSG00000000983,Wfdc18,7.215389,7.558906,11.214728,4.528279,6.398375,6.772689,2.08318,2.580784,2.979341,2.949465,3.068431,4.261839,2.101585,3.011363
ENSMUSG00000001014,Icam4,0,0.40658300000000003,0.444867,0,0.335029,0.295195,0.604074,0.399446,0.425754,0.377244,0.62947,0.318873,0.497444,0.287591
ENSMUSG00000001016,Ilf2,25.281124999999996,21.522365,26.966722000000004,28.21689,25.005982000000003,25.962429,17.198757,18.407833,16.013059,22.602037,19.017932000000002,18.207975,22.134666999999997,16.612582
ENSMUSG00000001017,Chtop,1.374134,0.318123,1.574001,0.591342,0.726045,0.973438,0.862021,1.452468,1.888088,0.857412,2.351634,1.446313,2.209581,2.2912790000000003
ENSMUSG00000001018,Snapin,144.478026,78.444202,85.33003099999999,125.979786,76.093845,78.634712,66.81828100000001,59.697459,52.786283999999995,60.683979,63.524515,59.030501,61.08406,65.634782
ENSMUSG00000001020,S100a4,0,0,0,0,0,0,0,0,0.565156,0,0,0,0.852116,0
ENSMUSG00000001021,S100a3,0.139939,2.0983490000000002,0.051967,0.130966,0.300271,3.24457,0.176803,0.027801,0.031146,0.027765,0.368854,0.355978,0,0.080576
ENSMUSG00000001025,S100a6,0,3.602787,0.530634,0,0,0.249141,1.8590710000000001,9.984726,0.314704,0.478407,3.848273,0.138431,0.8191,4.447044
ENSMUSG00000001027,Scn4a,0.065496,0.543175,0.069331,0.01531,0.021019,0.085662,0.009921,0.029625,0,0.019745,0.010181,0,0.010257,0.038184
ENSMUSG00000001029,Icam2,2.660061,0,1.204055,0,0.677114,0,0.266356,0,0,0,0.729664,0,0,0.5924769999999999
ENSMUSG00000001034,Mapk7,13.447569000000003,21.154554,17.222299,9.662832,17.254654,23.531669,8.477997,8.168049,9.466930000000001,7.953742,8.685396,7.021362,9.640909,9.499018
ENSMUSG00000001036,Epn2,8.950209000000001,19.960430000000002,23.229316,14.906761999999999,11.311838,14.047415,9.087382,7.402675,6.247051,8.046115,7.23535,8.625002,13.756445,14.552149
